Country/Region/World,ISO,Sex,Year,BMI_man,BMI_woman,boy_bmi,girl_bmi
Singapore,SGP,Men,1985,22.78939,23.46784861,17.9904926,17.7562118
Singapore,SGP,Men,1986,22.84337,23.45340294,18.03443874,17.80160692
Singapore,SGP,Men,1987,22.89747,23.43904675,18.07987806,17.84739001
Singapore,SGP,Men,1988,22.95121,23.42527944,18.12659441,17.89353562
Singapore,SGP,Men,1989,23.00473,23.41210621,18.174466,17.93985138
Singapore,SGP,Men,1990,23.05765,23.39922848,18.22325941,17.98606056
Singapore,SGP,Men,1991,23.11004,23.38693658,18.27244892,18.03187477
Singapore,SGP,Men,1992,23.16208,23.37474529,18.32197451,18.07722268
Singapore,SGP,Men,1993,23.21397,23.36240227,18.37248275,18.12168981
Singapore,SGP,Men,1994,23.26526,23.34882305,18.42353722,18.16522268
Singapore,SGP,Men,1995,23.31566,23.33317676,18.47513604,18.20758853
Singapore,SGP,Men,1996,23.36536,23.31608476,18.52812432,18.24923522
Singapore,SGP,Men,1997,23.4149,23.29867069,18.58311453,18.29004978
Singapore,SGP,Men,1998,23.46457,23.28127181,18.64053044,18.33020161
Singapore,SGP,Men,1999,23.51439,23.26423542,18.70048955,18.36936225
Singapore,SGP,Men,2000,23.5639,23.24754598,18.76220983,18.40749031
Singapore,SGP,Men,2001,23.61298,23.23097256,18.82398493,18.44414774
Singapore,SGP,Men,2002,23.66149,23.21423696,18.88489579,18.4791614
Singapore,SGP,Men,2003,23.70932,23.19741504,18.94449968,18.51246924
Singapore,SGP,Men,2004,23.75676,23.18042347,19.00183343,18.54426234
Singapore,SGP,Men,2005,23.80333,23.16403768,19.05724794,18.57425097
Singapore,SGP,Men,2006,23.84877,23.14766923,19.1106518,18.60286173
Singapore,SGP,Men,2007,23.89397,23.13201563,19.16346585,18.63074611
Singapore,SGP,Men,2008,23.9388,23.11765433,19.21607425,18.65857757
Singapore,SGP,Men,2009,23.98406,23.10472924,19.26792356,18.68700193
Singapore,SGP,Men,2010,24.0297,23.09288772,19.32043038,18.71729597
Singapore,SGP,Men,2011,24.07616,23.08217715,19.37411463,18.74954884
Singapore,SGP,Men,2012,24.12398,23.07291966,19.429008,18.78464193
Singapore,SGP,Men,2013,24.17288,23.0649742,19.48602102,18.82228286
Singapore,SGP,Men,2014,24.2226,23.05807512,19.54423226,18.86211084
Singapore,SGP,Men,2015,24.27352,23.05195962,19.60408248,18.90364128
Singapore,SGP,Men,2016,24.32468,23.04636952,19.6649891,18.94546088
