Year,MenDia,WomenDia
1980,45945.03499,47404.96295
1981,48642.60646,49695.45973
1982,51765.36128,52278.42771
1983,55159.58118,55043.80272
1984,58612.08515,57834.60692
1985,61845.39436,60439.02103
1986,64829.66285,62858.19246
1987,67667.37462,65165.06786
1988,70558.36247,67512.68113
1989,73865.23116,70151.42934
1990,77778.9037,73169.75424
1991,82327.21876,76590.22493
1992,87510.41206,80399.57544
1993,93287.93597,84573.74076
1994,99395.65087,88952.65272
1995,105457.0553,93264.94903
1996,111295.3507,97364.69186
1997,117058.6209,101379.8471
1998,122537.4605,105137.157
1999,128135.0617,108931.5409
2000,133892.9256,112789.1157
2001,139721.162,116642.8978
2002,145791.4837,120622.7082
2003,151933.102,124573.4236
2004,158100.0511,128471.4429
2005,164266.4242,132309.8351
2006,170599.6939,136206.1809
2007,177135.4639,140210.9689
2008,183925.5045,144380.0149
2009,190906.3108,148680.9369
2010,198591.5606,153394.0066
2011,206700.6743,158320.4471
2012,214848.7891,163187.0818
2013,223228.6816,168170.2161
2014,231748.0844,173241.7985
